WinningNumber1,WinningNumber2,WinningNumber3,WinningNumber4,WinningNumber5,WinningNumber6,DrawDate
41,7,23,30,13,20,2023-12-21
32,5,23,31,21,6,2023-12-19
38,42,14,34,27,31,2023-12-16
3,5,10,13,11,18,2023-12-14
4,17,5,2,22,42,2023-12-12
25,12,2,15,26,1,2023-12-09
33,16,18,12,11,2,2023-12-07
16,10,40,25,41,19,2023-12-05
29,26,30,22,31,15,2023-12-02
36,38,29,37,41,30,2023-11-30
37,35,41,5,23,7,2023-11-28
32,33,39,7,25,8,2023-11-25
6,18,32,31,26,14,2023-11-23
25,3,39,27,8,35,2023-11-21
18,21,20,36,35,7,2023-11-18
31,14,38,10,22,13,2023-11-16
1,12,21,28,8,18,2023-11-14
3,28,17,11,26,16,2023-11-11
39,7,38,16,5,3,2023-11-09
29,37,26,21,17,8,2023-11-07
7,34,11,26,5,6,2023-11-04
29,5,38,1,33,27,2023-11-02
3,9,36,40,29,41,2023-10-31
5,32,24,4,18,22,2023-10-28
33,4,37,27,16,35,2023-10-26
31,5,34,11,36,20,2023-10-24
3,22,2,17,14,39,2023-10-21
11,8,25,5,34,16,2023-10-19
38,14,22,21,40,30,2023-10-17
23,16,26,37,25,41,2023-10-14
13,41,6,25,34,42,2023-10-12
39,13,41,4,1,3,2023-10-10
42,28,21,38,8,17,2023-10-07
25,24,26,35,21,42,2023-10-05
5,10,42,8,13,20,2023-10-03
38,10,29,32,39,42,2023-09-30
42,11,20,28,22,5,2023-09-28
8,32,34,28,10,35,2023-09-26
13,36,27,38,15,22,2023-09-23
25,10,14,17,19,42,2023-09-21
33,34,24,4,11,5,2023-09-19
30,39,4,32,42,29,2023-09-16
6,27,3,13,35,4,2023-09-14
17,14,3,26,33,5,2023-09-12
19,11,9,3,41,35,2023-09-09
3,31,15,19,10,27,2023-09-07
32,21,27,25,13,40,2023-09-05
29,11,32,34,23,22,2023-09-02
10,29,6,7,11,21,2023-08-31
1,4,15,10,34,39,2023-08-29
12,32,41,23,40,22,2023-08-26
19,31,36,8,21,38,2023-08-24
21,18,10,24,14,38,2023-08-22
35,8,24,39,25,30,2023-08-19
27,10,36,9,22,7,2023-08-17
22,17,13,20,18,1,2023-08-15
36,10,24,31,13,12,2023-08-12
15,5,31,18,4,26,2023-08-10
14,24,36,37,23,41,2023-08-08
